Sample Semester Number - Exceptional Chile Ed Major,Class #,TODO/Note,Elementary Ed Major Req.,Exceptional Child Ed Major Req.,Art Minor Req.,Gen Ed Req.,,Class Name,Hours,PreReqs,MOTR Equiv.,Description
1,UI100,-,X,X,?,Gen Ed - Additional - UI100 - 1/5 hours,,First Year Seminar.,1,X,X,Notes: *UI100 is required unless a student transfers 24 credit hours from another institution excluding dual enrollment dual credit military credit or early college credit. - https://semo.edu/about/accreditation/general-education/
1,BS118,YES I CAN DO THIS - Need 7 but have many more - BOTH - BS218/118 Biological Science: A Process Approach* (MOTR)   - PH218 Physical Science: A Process Approach* (MOTR) - Says I can do this: https://semo.edu/about/accreditation/general-education/,Pro Edu - Elm - BS118,Pro Edu - Exp - BS118,?,Gen Ed - Natural Sciences A (No lab req),,Introduction to Process Science for Elementary Teachers,1,X,X,"This course will provide elementary teacher candidates with a working knowledge of science, acquisition of scientific knowledge, and the processes of scientific investigation. One two-hour lab. (1)."
1,ENG101,ASSUMED: Highshcool Transfer,Additional - EN100,Additional Req - EN100,?,Gen Ed - Written Communication A,,English Composition I,3,X,MOTR ENGL 100.,Focus on techniques of effective written expression.
1,MA128,-,Pro Edu - Elm - MA128,Pro Edu - Exp - MA128,?,Gen Ed - Math,,Numbers and Operations for Educators,4,ACT Math subscore of 15 or higher or MA 050 with a minimum grade of NDC or MA 106 with a minimum grade of C or a required score on an appropriate mathematics placement test. Students with an ACT Math subscore below 22 will co-enroll in MA 018. (4).,X,"Real numbers and their operations, properties, and applications, number theory, numeration systems, algebraic properties, graphing, statistics, probability and their historical importance. Declared education major in elementary, early childhood, exceptional child, middle school, or child and family studies: child development option major"
1,SC105,-,Additional - SC105,Additional Req - SC105,?,Gen Ed - Oral Communication,,Fundamentals of Oral Communication,3,X,MOTR COMM 110.,"The development of proficiency in oral communication through the study of rhetorical theories, principles, and strategies"
2,BS218,"IF NEED GEN ED SLOT FOR SOME REASON, CAN PROBABLY REMOVE ENITRELY BUT NEED TO CHECK - BY USING THE EXTRA CREDITS FROM PREV SEcTIONS ESPECIALLY NATURAL SCI WEIRDNESS WITH THE BS & PH CLASS EXTRA BUT WILL THINGS BREAK IF ABBY GETS OUT OF US105 FROM HS TRANSFER? I Dont think it should be a problem but need to call and check, If this doesnt work, just re-alocate some other double-counts like LI243 for Fine Arts since will probably have extra art courses anyway for Art Major/Minor, WORST CASE CAN PROBABLY ABLE TO REMOVE B - TODO!",Additional - BS218,Additional Req - BS218,?,Gen Ed - Additional - 1+3/5 hours,,Biological Science: A Process Approach,3,Prerequisite: BS 118.,MOTR BIOL 100L.,"This course applies scientific thought to structure, function, energetics and ecology of living systems. Two lectures; one two-hour lab."
2,ED280,-,Pro Edu - Elm - ED280,Pro Edu - Exp - ED280,?,X,,Introduction to Education as a Profession,3,Pre- or Corequisites: PY/CF 120 or PY 222,X,"Introduces the education profession, including diversity, standards-based curriculum, learning theories, and instructional technology; includes 37.5 hours field experience. "
2,EN140,Advanced placement?,Pro Edu - Elm - EN140,Pro Edu - Exp - EN140,?,Gen Ed - Written Communication B,,Rhetoric & Critical Thinking,3,Prerequisite: EN 100 or advanced placement.,MOTR ENGL 200.,Focus on effective written expression in the context of a liberal education; emphasis upon critical thinking and the research paper.
2,HST103,ASSUMED: Highshcool Transfer,Additional - US105,Additional Req - US105,?,?,,United States History,3,X,MOTR HIST 101,A study of the history of the United States from the colonial beginnings to 1877.
2,PY/CF120,(PY120 is in the Social and Behavioral Sci section specifically) - https://semo.edu/about/accreditation/general-education/,Pro Edu - Elm - PY/CF120,Pro Edu - Exp - PY/CF120,?,Gen Ed - Social and Behavioral Sciences B,,The Child: Development from Conception to Adolescence,3,X,X,"An overview of the social, cognitive, physical and emotional changes that occur from conception through adolescence. (3)."
3,EC101,-,Additional - EC101,Additional Req - EC101,?,Gen Ed - Social and Behavioral Sciences A,,Economic Problems and Policies,3,X,MOTR ECON 100.,An introduction to the domestic and international economic problems facing the United States today and an analysis of the policies designed to alleviate these problems.
3,EL274,-,Pro Edu - Elm - EL274,Pro Edu - Exp - EL274,?,X,,Diversity in American Schools,3,X,X,"Exploration of race, ethnicity, and gender issues in schooling today. (3)."
